lcd_id,lcd_version,contractor_id,contractor_type_id,contractor_version,last_updated
33449,36,395,12,1,2019-11-09 15:55:38.667000
33449,36,396,12,1,2019-11-09 15:55:38.667000
33455,31,378,13,1,2021-09-03 12:52:54.617000
33455,31,379,13,1,2021-09-03 12:52:54.617000
33455,31,380,13,1,2021-09-03 12:52:54.617000
33455,31,381,13,1,2021-09-03 12:52:54.617000
33455,31,394,12,1,2021-09-03 12:52:54.617000
33455,31,395,12,1,2021-09-03 12:52:54.617000
33455,31,396,12,1,2021-09-03 12:52:54.617000
33456,71,374,13,1,2023-06-05 14:08:41.103000
33456,71,375,13,1,2023-06-05 14:08:41.103000
33456,71,376,13,1,2023-06-05 14:08:41.103000
33456,71,377,13,1,2023-06-05 14:08:41.103000
33456,71,378,13,1,2023-06-05 14:08:41.103000
33456,71,379,13,1,2023-06-05 14:08:41.103000
33456,71,380,13,1,2023-06-05 14:08:41.103000
33456,71,381,13,1,2023-06-05 14:08:41.103000
33456,71,391,12,1,2023-06-05 14:08:41.103000
33456,71,392,12,1,2023-06-05 14:08:41.103000
33456,71,393,12,1,2023-06-05 14:08:41.103000
33456,71,394,12,1,2023-06-05 14:08:41.103000
33456,71,395,12,1,2023-06-05 14:08:41.103000
33456,71,396,12,1,2023-06-05 14:08:41.103000
33457,61,374,13,1,2023-03-14 13:39:27.203000
33457,61,375,13,1,2023-03-14 13:39:27.203000
33457,61,376,13,1,2023-03-14 13:39:27.203000
33457,61,377,13,1,2023-03-14 13:39:27.203000
33457,61,378,13,1,2023-03-14 13:39:27.203000
33457,61,379,13,1,2023-03-14 13:39:27.203000
33457,61,380,13,1,2023-03-14 13:39:27.203000
33457,61,381,13,1,2023-03-14 13:39:27.203000
33457,61,391,12,1,2023-03-14 13:39:27.203000
33457,61,392,12,1,2023-03-14 13:39:27.203000
33457,61,393,12,1,2023-03-14 13:39:27.203000
33457,61,394,12,1,2023-03-14 13:39:27.203000
33457,61,395,12,1,2023-03-14 13:39:27.203000
33457,61,396,12,1,2023-03-14 13:39:27.203000
33459,46,374,13,1,2026-06-03 14:18:38.663000
33459,46,375,13,1,2026-06-03 14:18:38.663000
33459,46,376,13,1,2026-06-03 14:18:38.663000
33459,46,377,13,1,2026-06-03 14:18:38.663000
33459,46,378,13,1,2026-06-03 14:18:38.663000
33459,46,379,13,1,2026-06-03 14:18:38.663000
33459,46,380,13,1,2026-06-03 14:18:38.663000
33459,46,381,13,1,2026-06-03 14:18:38.663000
33459,46,391,12,1,2026-06-03 14:18:38.663000
33459,46,392,12,1,2026-06-03 14:18:38.663000
33459,46,393,12,1,2026-06-03 14:18:38.663000
33459,46,394,12,1,2026-06-03 14:18:38.663000
33459,46,395,12,1,2026-06-03 14:18:38.663000
33459,46,396,12,1,2026-06-03 14:18:38.663000
33461,64,378,13,1,2024-03-01 14:55:00.403000
33461,64,379,13,1,2024-03-01 14:55:00.403000
33461,64,380,13,1,2024-03-01 14:55:00.403000
33461,64,381,13,1,2024-03-01 14:55:00.403000
33461,64,394,12,1,2024-03-01 14:55:00.403000
33461,64,395,12,1,2024-03-01 14:55:00.403000
33461,64,396,12,1,2024-03-01 14:55:00.403000
33467,49,374,13,1,2023-05-01 14:04:49.260000
33467,49,375,13,1,2023-05-01 14:04:49.260000
33467,49,376,13,1,2023-05-01 14:04:49.260000
33467,49,377,13,1,2023-05-01 14:04:49.260000
33467,49,378,13,1,2023-05-01 14:04:49.260000
33467,49,379,13,1,2023-05-01 14:04:49.260000
33467,49,380,13,1,2023-05-01 14:04:49.260000
33467,49,381,13,1,2023-05-01 14:04:49.260000
33467,49,391,12,1,2023-05-01 14:04:49.260000
33467,49,392,12,1,2023-05-01 14:04:49.260000
33467,49,393,12,1,2023-05-01 14:04:49.260000
33467,49,394,12,1,2023-05-01 14:04:49.260000
33467,49,395,12,1,2023-05-01 14:04:49.260000
33467,49,396,12,1,2023-05-01 14:04:49.260000
33557,48,500,8,1,2026-07-14 20:41:54.743000
33557,48,501,8,1,2026-07-14 20:41:54.743000
33557,48,502,8,1,2026-07-14 20:41:54.743000
33557,48,504,9,1,2026-07-14 20:41:54.743000
33557,48,505,9,1,2026-07-14 20:41:54.743000
33557,48,506,9,1,2026-07-14 20:41:54.743000
33557,48,507,13,1,2026-07-14 20:41:54.743000
33557,48,508,13,1,2026-07-14 20:41:54.743000
33557,48,509,13,1,2026-07-14 20:41:54.743000
33557,48,510,13,1,2026-07-14 20:41:54.743000
33557,48,511,13,1,2026-07-14 20:41:54.743000
33557,48,512,13,1,2026-07-14 20:41:54.743000
33557,48,513,13,1,2026-07-14 20:41:54.743000
33557,48,514,13,1,2026-07-14 20:41:54.743000
33557,48,515,13,1,2026-07-14 20:41:54.743000
33557,48,516,13,1,2026-07-14 20:41:54.743000
33557,48,517,13,1,2026-07-14 20:41:54.743000
33557,48,519,13,1,2026-07-14 20:41:54.743000
33557,48,520,13,1,2026-07-14 20:41:54.743000
33557,48,521,13,1,2026-07-14 20:41:54.743000
33557,48,522,13,1,2026-07-14 20:41:54.743000
33557,48,523,13,1,2026-07-14 20:41:54.743000
33558,33,500,8,1,2026-07-14 20:41:54.943000
33558,33,501,8,1,2026-07-14 20:41:54.943000
33558,33,502,8,1,2026-07-14 20:41:54.943000
33558,33,504,9,1,2026-07-14 20:41:54.943000
33558,33,505,9,1,2026-07-14 20:41:54.943000
33558,33,506,9,1,2026-07-14 20:41:54.943000
33558,33,507,13,1,2026-07-14 20:41:54.943000
33558,33,508,13,1,2026-07-14 20:41:54.943000
33558,33,509,13,1,2026-07-14 20:41:54.943000
33558,33,510,13,1,2026-07-14 20:41:54.943000
33558,33,511,13,1,2026-07-14 20:41:54.943000
33558,33,512,13,1,2026-07-14 20:41:54.943000
33558,33,513,13,1,2026-07-14 20:41:54.943000
33558,33,514,13,1,2026-07-14 20:41:54.943000
33558,33,515,13,1,2026-07-14 20:41:54.943000
33558,33,516,13,1,2026-07-14 20:41:54.943000
33558,33,517,13,1,2026-07-14 20:41:54.943000
33558,33,519,13,1,2026-07-14 20:41:54.943000
33558,33,520,13,1,2026-07-14 20:41:54.943000
33558,33,521,13,1,2026-07-14 20:41:54.943000
33558,33,522,13,1,2026-07-14 20:41:54.943000
33558,33,523,13,1,2026-07-14 20:41:54.943000
33559,29,500,8,1,2026-07-14 20:41:54.827000
33559,29,501,8,1,2026-07-14 20:41:54.827000
33559,29,502,8,1,2026-07-14 20:41:54.827000
33559,29,504,9,1,2026-07-14 20:41:54.827000
33559,29,505,9,1,2026-07-14 20:41:54.827000
33559,29,506,9,1,2026-07-14 20:41:54.827000
33559,29,507,13,1,2026-07-14 20:41:54.827000
33559,29,508,13,1,2026-07-14 20:41:54.827000
33559,29,509,13,1,2026-07-14 20:41:54.827000
33559,29,510,13,1,2026-07-14 20:41:54.827000
33559,29,511,13,1,2026-07-14 20:41:54.827000
33559,29,512,13,1,2026-07-14 20:41:54.827000
33559,29,513,13,1,2026-07-14 20:41:54.827000
33559,29,514,13,1,2026-07-14 20:41:54.827000
33559,29,515,13,1,2026-07-14 20:41:54.827000
33559,29,516,13,1,2026-07-14 20:41:54.827000
33559,29,517,13,1,2026-07-14 20:41:54.827000
33559,29,519,13,1,2026-07-14 20:41:54.827000
33559,29,520,13,1,2026-07-14 20:41:54.827000
33559,29,521,13,1,2026-07-14 20:41:54.827000
