lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
33977,18,3,263,1,2025-04-29 23:04:16.737000
33979,35,1,0,1,2025-04-29 23:04:17.167000
33979,36,1,0,1,2025-04-29 23:04:17.167000
33996,31,1,0,1,2025-04-29 23:04:19.323000
33996,32,1,0,1,2025-04-29 23:04:19.323000
33996,33,1,0,1,2025-04-29 23:04:19.323000
33999,20,1,0,1,2025-04-29 23:04:19.327000
33999,21,1,0,1,2025-04-29 23:04:19.327000
34005,33,1,0,1,2025-04-29 23:04:19.330000
34005,34,1,0,1,2025-04-29 23:04:19.330000
34007,48,1,158,1,2025-04-29 23:04:16.740000
34008,22,1,0,1,2025-04-29 23:04:19.330000
34008,23,1,0,1,2025-04-29 23:04:19.330000
34010,37,1,0,1,2025-04-29 23:04:17.167000
34010,38,1,0,1,2025-04-29 23:04:17.167000
34018,18,1,181,1,2025-04-29 23:04:16.743000
34021,18,1,0,1,2025-04-29 23:04:16.743000
34027,14,1,263,1,2025-04-29 23:04:16.747000
34028,16,1,0,1,2025-04-29 23:04:16.747000
34032,32,1,0,1,2025-04-29 23:04:19.333000
34032,34,1,0,1,2025-04-29 23:04:19.333000
34037,21,1,0,1,2025-04-29 23:04:19.333000
34037,22,1,0,1,2025-04-29 23:04:19.333000
34038,25,1,0,1,2025-04-29 23:04:17.170000
34038,31,1,0,1,2025-04-29 23:04:17.170000
34038,32,1,0,1,2025-04-29 23:04:17.170000
34040,33,1,226,1,2025-04-29 23:04:17.180000
34040,33,2,330,1,2025-04-29 23:04:17.180000
34040,34,1,226,1,2025-04-29 23:04:17.180000
34040,34,2,330,1,2025-04-29 23:04:17.180000
34045,37,1,165,1,2025-05-02 14:38:41.373000
34045,37,2,212,1,2025-05-02 14:38:54.130000
34045,37,3,164,1,2025-05-02 14:39:30.217000
34045,38,1,165,1,2025-05-02 14:38:41.373000
34045,38,2,212,1,2025-05-02 14:38:54.130000
34045,38,3,164,1,2025-05-02 14:39:30.217000
